Record ID,Subject Heading,General Heading Note,Title,Number,Date,Geographic Location,Corporate Name,Personal Name
"37","Air brakes",,"Rules and regulations governing air brakes, air signals, heating and lighting passenger cars, electric and acetylene headlights.",,"Jul. 1, 1909",,"Southern Pacific",
"38","Air brakes",,"Rules and regulations govenring care and operation of air brake and air signal apparatus",,"May 1, 1915",,"Southern Pacific",
"39","Air brakes",,"Rules and regulations govenring care and operation of air brake and air signal apparatus",,"May 1, 1926",,"Southern Pacific",
"40","Air brakes",,"Air brake rules and regulations governing train handling, operation and tests of air brake and air signal apparatus",,"Feb. 1, 1939",,"Southern Pacific",
"41","Air brakes",,"Air brake rules and regulations govenring train handling, operation and tests of air and dynamic brakes and air signal apparatus",,"Dec. 1, 1951",,"Southern Pacific",
"42","Air brakes",,"Air brake rules and regulations governing train handling, operation and tests of air and dynamic brakes and air signal apparatus",,"Dec. 1, 1951",,"Southern Pacific",
"43","Air brakes",,"Air brake rules and train handling instructions",,"Oct. 26, 1980",,"Southern Pacific",
"44","Airlines, Competition with",,,,,,"Southern Pacific",
"45","Airplanes",,,,,,"Southern Pacific",
"46",,"Along our lines. [By year]",,,"1937-1942]",,"Southern Pacific",
"47",,"Annual inspections. [By year]",,,,,"Southern Pacific",
"48","Annual inspection",,"Pacific System and Sonora Railway",,"1904",,"Southern Pacific",
"49","Annual inspection",,,,"1909",,"Southern Pacific",
"50","Annual inspection",,,,"1910",,"Southern Pacific",
"51","Annual inspection",,,,"1911",,"Southern Pacific",
"52","Annual inspection",,,,"1912",,"Southern Pacific",
"53","Annual inspection",,,,"1913",,"Southern Pacific",
"54","Annual inspection",,,,"1915",,"Southern Pacific",
"55","Annual inspection",,,,"1916",,"Southern Pacific",
"56","Annual inspection",,,,"1917",,"Southern Pacific",
"57","Annual inspection",,,,"1920",,"Southern Pacific",
"58","Annual inspection",,,,"1923",,"Southern Pacific",
"59","Annual inspection",,"Lines in Texas and Louisiana",,"1920",,"Southern Pacific",
"60","Annual reports, Art for",,,,,,"Southern Pacific",
"61","Antitrust manual",,,,,,"Southern Pacific",
"63","Apprentices",,,,,,"Southern Pacific",
"64","Atchison, Topeka & Santa Fe, Agreements with",,,,"Jan. 16, 1899",,"Southern Pacific",
"65","Automobiles",,"Rules and regulations for the care and operation of automotive and trailer equpiment",,"Oct. 1, 1943",,"Southern Pacific",
"66","Automobiles",,"Rules and regulations for the care and operation of automotive and trailer equpiment",,"Aug. 1, 1946",,"Southern Pacific",
"67","Automobiles",,"Rules and regulations for the care and operation of automotive and trailer equpiment",,"Feb. 1, 1959",,"Southern Pacific",
"68","Automobiles",,"Rules for the safe operation and care of automotive and trailer equipment",,"Jul. 1, 1967",,"Southern Pacific",
"69","Automobiles",,"Rules for the safe operation and care of automotive and trailer equipment",,"Oct. 1, 1983",,"Southern Pacific",
"70",,"Auxiliary companies, Southern Pacific and. [ By manual number]",,,,,"Southern Pacific",
"71","Auxiliary companies, Southern Pacific and",,"Manual ... of annual meetings, directors, officers, capital stock, funded debt, etc.","6","Jul. 1, 1907",,"Southern Pacific",
"72","Auxiliary companies, Southern Pacific and",,"Manual ... of annual meetings, directors, officers, capital stock, funded debt, etc.","7","Jul. 1, 1908",,"Southern Pacific",
"73","Auxiliary companies, Southern Pacific and",,"Manual ... of annual meetings, directors, officers, capital stock, funded debt, etc.","8","Nov. 1, 1909",,"Southern Pacific",
"74","Auxiliary companies, Southern Pacific and",,"Manual ... 1916-1917 of annual meetings, directors, officers, capital stock, funded debt, etc.","14","May 1, 1916",,"Southern Pacific",
"75","Auxiliary companies, Southern Pacific and",,"Manual ... of annual meetings, directors, officers, capital stock, funded debt, etc.","29","Aug. 1, 1931",,"Southern Pacific",
"76","Auxiliary companies, Southern Pacific and",,"Manual ... 1931-1932 of annual meetings, directors, officers, capital stock, funded debt, etc.","29","Aug. 1, 1931",,"Southern Pacific",
"77","Awards",,,,,,"Southern Pacific",
"78","Baggage",,,,,,"Southern Pacific",
"79","Baggage Department",,"Rules and regulations of the Baggage Department.  Instructions to station baggagement and train baggagemen",,"Dec. 1, 1908",,"Southern Pacific",
"80","Bands",,,,,,"Southern Pacific",
"81","Bibliography",,,,,,"Southern Pacific",
"82","Billboard ads",,"[Bears, Chickens, Elephants, Giraffe, Next time try the train, Ostrich, Penguin, Pig, Rabbit",,,,"Southern Pacific",
"83","Accidents",,,,,,"Amtrak",
"84","Accounting",,"Conductors accounting procedures independent study work book",,"1988",,"Amtrak",
"85","Accounting",,"Procedures ... for conductors and trainmen",,"1975",,"Amtrak",
"86","Air rail",,,,,,"Amtrak",
"87","Amtrak Express",,,,,,"Amtrak",
"88","Animals",,,,,,"Amtrak",
"89","Auto train",,,,,,"Amtrak",
"90","Baggage",,,,,,"Amtrak",
"91","Budgets",,,,,,"Amtrak",
"92","Bus service",,,,,,"Amtrak",
"93","Calendars",,,,,,"Amtrak",
"94","Cartoons",,,,,,"Amtrak",
"95","Children",,,,,,"Amtrak",
"96","Consists",,,,,,"Amtrak",
"97","Correspondence",,,,,,"Amtrak",
"98","Cruises",,,,,,"Amtrak",
"99","Dining Car Department",,"Food handling and sanitation manual",,"1975",,"Amtrak",
"100","Dining car service",,,,,,"Amtrak",
"101","Division notices",,,,,,"Amtrak",
"102","Emergency evacuation procedures",,,,,,"Amtrak",
"103",,"Excursions. [By year]",,,,,"Amtrak",
"104","Excursions",,"Transcontinental Excursion",,"1977",,"Amtrak",
"105","Family days",,,,,,"Amtrak",
"106","Fares",,,,,,"Amtrak",
"107","Filming on",,,,,,"Amtrak",
"108","Five year corporate plan",,,,,,"Amtrak",
"109","Forums",,,,,,"Amtrak",
"110","Freight service",,,,,,"Amtrak",
"111","Fuel",,,,,,"Amtrak",
"112","Gift items",,,,,,"Amtrak",
"113","Handicapped services",,,,,,"Amtrak",
"114",,"History. [By date]",,,,,"Amtrak",
"115","Incentive contracts",,,,,,"Amtrak",
"116","Inside Amtrak",,"Report to rail passengers",,,,"Amtrak",
"117","Intercity rail passenger travel",,,,,,"Amtrak",
"118","Library",,,,,,"Amtrak",
"119","Locomotives.  Diesel",,,,,,"Amtrak",
"120","Locomotives.  Diesel.",,"Operating manuals.  F40PH / P30CH",,"1983",,"Amtrak",
"121","Locations",,,,,"America","Amtrak",
"122","Locations",,,,,"East","Amtrak",
"124","Locations",,,,,"Northeast","Amtrak",
"126","Locations",,,,,"Northwest","Amtrak",
"127","Locations",,,,,"South","Amtrak",
"128","Locations",,,,,"Southeast","Amtrak",
"129","Locations",,,,,"Southwest","Amtrak",
"130","Locations",,,,,"West","Amtrak",
"131","Locations",,,,,"Alaska","Amtrak",
"132","Locations",,,,,"California","Amtrak",
"133","Locations",,,,,"California.  Disneyland","Amtrak",
"134","Locations",,,,,"California.  Lake Tahoe","Amtrak",
"135","Locations",,,,,"California. Los Angeles","Amtrak",
"136","Locations",,,,,"California.  Napa","Amtrak",
"138","Locations",,,,,"California.  Pasadena","Amtrak",
"141","Locations",,,,,"California.  Sacramento","Amtrak",
"142","Locations",,,,,"California.  San Diego","Amtrak",
"143","Locations",,,,,"California.  San Francisco","Amtrak",
"144","Locations",,,,,"California.  San Simeon","Amtrak",
"145","Locations",,,,,"California.  Yosemite","Amtrak",
"146","Locations",,,,,"Canada","Amtrak",
"147","Locations",,,,,"Colorado","Amtrak",
"148","Locations",,,,,"Florida","Amtrak",
"149","Locations",,,,,"Illinois","Amtrak",
"150","Locations",,,,,"Kansas","Amtrak",
"151","Locations",,,,,"Louisiana","Amtrak",
"152","Locations",,,,,"Mexico","Amtrak",
"153","Locations",,,,,"Nevada","Amtrak",
"154","Locations",,,,,"New Jersey","Amtrak",
"156","Locations",,,,,"New York","Amtrak",
"157","Locations",,,,,"Texas","Amtrak",
"158","Locations",,,,,"Virginia","Amtrak",
"159","Locations",,,,,"Wyoming.  Yellowstone","Amtrak",
"160",,"News releases.  [By date]",,,,,"Amtrak",
"161",,"On time performance. [By date]",,,,,"Amtrak",
"162","Operating rules and instructions",,,,"1988",,"Amtrak",
"163",,"Operations and Maintenance Department.  System route summary reports. [By date]",,,,,"Amtrak",
"164",,"Passenger miles.  [By date]",,,,,"Amtrak",
"165","Personnel",,,,,,"Amtrak",
"166","Personnel",,"Conductors, assistant conductors, trainmen, manual of instructions",,"1985",,"Amtrak",
"167","Personnel",,"Manual of instructions for conductors and trainmen in Amtrak service",,"1981",,"Amtrak",
"168","Personnel",,"On board service director's handbook",,,,"Amtrak",
"169","Personnel",,"Rules and instructions governing on board service employees",,,,"Amtrak",
"170",,"Rules of conduct",,,,,"Amtrak",
"171","Personnel.  A-Z",,,,,,"Amtrak",
"172","Promotional materials.",,"Welcome aboard.  [By date]",,,,"Amtrak",
"173",,"Ridership.  [By year]",,,,,"Amtrak",
"174",,"Rolling stock.  Passenger.  [By type]",,,,,"Amtrak",
"175",,"Rolling stock.  Passenger",,,,,"Amtrak",
"176","Rolling stock.  Passenger.  Amcafe",,,,,,"Amtrak",
"177","Rolling stock.  Passenger. Amfleet",,,,,,"Amtrak",
"178","Rolling stock.  Passenger.  Lounge cafe",,,,,,"Amtrak",
"179","Rolling stock.  Passenger.  Superliners",,,,,,"Amtrak",
"180","Rolling stock.  Passenger.  Rosters",,,,,,"Amtrak",
"181","Routes",,,,,,"Amtrak",
"182","Sales of equipment",,,,,,"Amtrak",
"183",,"Schedule performance.  [By year]",,,,,"Amtrak",
"184","Schedules",,,,,,"Amtrak",
"185","Shops",,,,,"District of Columbia","Amtrak",
"186","Ski-ing",,,,,,"Amtrak",
"187","SPIKE",,"Owner's manual",,,,"Amtrak",
"188","Stations",,,,,,"Amtrak",
"189","Stations.  Station codes",,,,,,"Amtrak",
"190","Steam generator",,"Maintenance manual.  Vapor OK 4625 74G",,,,"Amtrak",
"191","Ticket services",,,,,,"Amtrak",
"192","Tours",,,,,,"Amtrak",
"193","Train travel",,,,,,"Amtrak",
"194",,"Trains.  [By date]",,,,,"Amtrak",
"196","Trains.  Adirondack",,,,,,"Amtrak",
"197","Trains.  Arrowhead",,,,,,"Amtrak",
"198","Trains.  Atlantic City Express",,,,,,"Amtrak",
"199","Trains.  Broadway Limited",,,,,,"Amtrak",
"200","Trains.  California Zephyr",,,,,,"Amtrak",
"201","Trains.  Cape Codder",,,,,,"Amtrak",
"202","Trains.  Capitols",,,,,,"Amtrak",
"203","Trains.  City of New Orleans",,,,,,"Amtrak",
"204","Trains.  Coast Daylight",,,,,,"Amtrak",
"205","Trains.  Coast Starlight",,,,,,"Amtrak",
"206","Trains.  Crescent",,,,,,"Amtrak",
"207","Trains.  Desert Wind",,,,,,"Amtrak",
"208","Trains.  Eagle",,,,,,"Amtrak",
"209","Trains.  El Camino",,,,,,"Amtrak",
"210","Trains.  Empire Builder",,,,,,"Amtrak",
"211","Trains.  Empire Connection",,,,,,"Amtrak",
"212","Trains.  Floridian",,,,,,"Amtrak",
"213","Trains.  Gulf Coast Limited",,,,,,"Amtrak",
"214","Trains.  Hiawatha",,,,,,"Amtrak",
"215","Trains.  James Whitcomb Riley",,,,,,"Amtrak",
"216","Trains.  Lake Shore Limted",,,,,,"Amtrak",
"217","Trains.  Lone Star",,,,,,"Amtrak",
"218","Trains.  Merchants Limited",,,,,,"Amtrak",
"219","Trains.  Montrealer",,,,,,"Amtrak",
"220","Trains.  Mountaineer",,,,,,"Amtrak",
"221","Trains.  National Limited",,,,,,"Amtrak",
"222","Trains.  North Coast Hiawatha",,,,,,"Amtrak",
"223","Trains. Panama Limited",,,,,,"Amtrak",
"224","Trains.  Pioneer",,,,,,"Amtrak",
"225","Trains.  Saint Clair",,,,,,"Amtrak",
"226","Trains.  San Diegan",,,,,,"Amtrak",
"227","Trains.  San Francisco Zephyr",,,,,,"Amtrak",
"228","Trains.  San Joaquin",,,,,,"Amtrak",
"230","Trains.  Silver Meteor",,,,,,"Amtrak",
"231","Trains.  Silver Star",,,,,,"Amtrak",
"232","Trains.  Southwest Chief",,,,,,"Amtrak",
"233","Trains.  Southwest Limited",,,,,,"Amtrak",
"234","Trains.  Spirit of California",,,,,,"Amtrak",
"235","Trains.  Sunset Limited",,,,,,"Amtrak",
"236","Trains.  Super Chief",,,,,,"Amtrak",
"237","Trains.  Wolverine",,,,,,"Amtrak",
"238","Trains.  Flexliner",,,,,,"Amtrak",
"239","Trains.  High speed",,,,,,"Amtrak",
"240","Trains.  ICE - Inter City Express",,,,,,"Amtrak",
"241","Trains.  LRC - Light, Rapid Comfortable",,,,,,"Amtrak",
"242","Trains.  Metroliners",,,,,,"Amtrak",
"243","Trains.  Pendular.  Talgo",,,,,,"Amtrak",
"245","Trains.  Superliners",,,,,,"Amtrak",
"246","Trains.  Turboliners",,,,,,"Amtrak",
"247","Trains.  Viewliner",,,,,,"Amtrak",
"248","Trip journal",,,,,,"Amtrak",
"249","Unions.  Hotels and Restaurant Employees and Bartender's International Union",,"Agreements",,"1973",,"Amtrak",
"250","Abandonments",,,,,,"Atchison, Topeka & Santa Fe",
"251",,"Abandonments. [By location]",,,,,"Atchison, Topeka & Santa Fe",
"252",,"Accidents.  [By date]",,,,,"Atchison, Topeka & Santa Fe",
"253","Agreements",,,,,,"Atchison, Topeka & Santa Fe",
"254","Agriculture",,,,,,"Atchison, Topeka & Santa Fe",
"255","Air brakes",,"Instructions for maintaining and operating air brake apparatus",,"1911",,"Atchison, Topeka & Santa Fe",
"256","Air brakes",,"Instructions for maintaining and operating air brake apparatus",,"1916",,"Atchison, Topeka & Santa Fe",
"257","Air brakes",,"Instructions for maintining and operating air brake equipment","2501","1942",,"Atchison, Topeka & Santa Fe",
"258","Air brakes",,"Instructions, description and operating covering air brake equipment","2501","1926",,"Atchison, Topeka & Santa Fe",
"259","Air brakes",,"Air brake rules includes train handling instructions for conventional and remote controlled equipment and cars","2501","Feb. 1, 1977",,"Atchison, Topeka & Santa Fe",
"260","Air brakes",,"Air brake rules includes train handling instructions for conventional and remote control and operation of brake equipment on locomotives, remote controlled equipment and cars",,"Jan. 1, 1988",,"Atchison, Topeka & Santa Fe",
"261","Airplanes",,,,,,"Atchison, Topeka & Santa Fe",
"262","Art",,,,,,"Atchison, Topeka & Santa Fe",
"263","Auctions",,,,,,"Atchison, Topeka & Santa Fe",
"264",,"Baggage Department.  Circulars.  [By date]",,,,,"Atchison, Topeka & Santa Fe",
"265",,"Baggage, Express and Mail Department.  Circulars.  [By date]",,,,,"Atchison, Topeka & Santa Fe",
"266","Baggage Department",,"Rules",,"Nov. 1, 1917",,"Atchison, Topeka & Santa Fe",
"267","Baggage service",,,,,,"Atchison, Topeka & Santa Fe",
"268","Bibliography",,,,,,"Atchison, Topeka & Santa Fe",
"269","Board of Directors",,"Inspection trips",,"1959",,"Atchison, Topeka & Santa Fe",
"270","Boats",,,,,,"Atchison, Topeka & Santa Fe",
"271","Boats",,"Steamer sailings",,"Feb. 1938",,"Atchison, Topeka & Santa Fe",
"272","Branches",,,,,"Fallbrook","Atchison, Topeka & Santa Fe",
"273","Bridges",,,,,,"Atchison, Topeka & Santa Fe",
"274","Bridges",,,,,"California.  Stanislaus River","Atchison, Topeka & Santa Fe",
"275","Buses",,,,,,"Atchison, Topeka & Santa Fe",
"276","By-laws",,,,"1979",,"Atchison, Topeka & Santa Fe",
"277","California Division",,"Headquarters",,,,"Atchison, Topeka & Santa Fe",
"278","California Excess Crew Law",,,,,,"Atchison, Topeka & Santa Fe",
"279","Car Deparment",,"Rules",,"Apr. 1, 1907",,"Atchison, Topeka & Santa Fe",
"280","Card games",,,,,,"Atchison, Topeka & Santa Fe",
"281","Cartoons",,,,,,"Atchison, Topeka & Santa Fe",
"282","China",,,,,,"Atchison, Topeka & Santa Fe",
"283","Cipher book",,,,,,"Atchison, Topeka & Santa Fe",
"285","CLIC [Car Location Identity / Inventory Control]",,,,"1972-1985",,"Atchison, Topeka & Santa Fe",
"286","Dining car service",,,,,,"Atchison, Topeka & Santa Fe",
"287","Dining Club",,,,,,"Atchison, Topeka & Santa Fe",
"288",,"Directories. [By date]",,,,,"Atchison, Topeka & Santa Fe",
"289","Directories",,,,"1982-1983",,"Atchison, Topeka & Santa Fe",
"290",,"Dude ranches. [By date]",,,,,"Atchison, Topeka & Santa Fe",
"291","Dude ranches",,,,"1933-1953",,"Atchison, Topeka & Santa Fe",
"292","Educational materials",,,,,,"Atchison, Topeka & Santa Fe",
"293","Equipment sales",,,,,,"Atchison, Topeka & Santa Fe",
"294",,"Events. [By date]",,,,,"Atchison, Topeka & Santa Fe",
"295",,"Everyman's Almanac.  [By date]",,,,,"Atchison, Topeka & Santa Fe",
"296","Everyman's Almanac",,,,"1924",,"Atchison, Topeka & Santa Fe",
"297","Everyman's Almanac",,,,"1926",,"Atchison, Topeka & Santa Fe",
"298","Everyman's Almanac",,,,"1929",,"Atchison, Topeka & Santa Fe",
"299","Everyman's Almanac",,,,"1930",,"Atchison, Topeka & Santa Fe",
"300","Everyman's Almanac",,,,"1934",,"Atchison, Topeka & Santa Fe",
"301","Everyman's Almanac",,,,"1935",,"Atchison, Topeka & Santa Fe",
"302","Everyman's Almanac",,,,"1936",,"Atchison, Topeka & Santa Fe",
"303","Everyman's Almanac",,,,"1937",,"Atchison, Topeka & Santa Fe",
"304","Everyman's Almanac",,,,"1938",,"Atchison, Topeka & Santa Fe",
"305","Everyman's Almanac",,,,"1939",,"Atchison, Topeka & Santa Fe",
"306","Everyman's Almanac",,,,"1947",,"Atchison, Topeka & Santa Fe",
"307","Everyman's Almanac",,,,"1948",,"Atchison, Topeka & Santa Fe",
"308",,"Excursions. [By decade]",,,,,"Atchison, Topeka & Santa Fe",
"309","Fairs",,"Portola Festival",,"1909.  Oct. 19-23",,"Atchison, Topeka & Santa Fe",
"310","Fairs",,"Chicago World's Fair",,"1933",,"Atchison, Topeka & Santa Fe",
"311","Fairs",,"California Pacific International Exposition",,"1935-1936","San Diego","Atchison, Topeka & Santa Fe",
"312","Fairs",,"Golden Gate International Exposition",,"1939  Feb. 18-Dec. 2, 1939|1940  May 25-Sep. 29, 1940","San Francisco","Atchison, Topeka & Santa Fe",
"313","Fairs",,"World's Fair",,"1939.  Apr. 30-Oct. 31","New York","Atchison, Topeka & Santa Fe",
"314","Fairs",,"Chicago Railroad Fair",,"1948-1949",,"Atchison, Topeka & Santa Fe",
"315","Fairs",,"World's Fair",,"1964-1965","New York","Atchison, Topeka & Santa Fe",
"316",,"Fares. [By decade]",,,,,"Atchison, Topeka & Santa Fe",
"317","Fire",,"Rules",,"Oct. 1, 1929",,"Atchison, Topeka & Santa Fe",
"318","Fire",,"Rules",,"1942?",,"Atchison, Topeka & Santa Fe",
"319","First aid",,,,,,"Atchison, Topeka & Santa Fe",
"320","Floods",,,,,,"Atchison, Topeka & Santa Fe",
"321","Forms",,"Instructions for the preparation of Form 827 C.  Standard time return and delay report engine employees yard service",,,,"Atchison, Topeka & Santa Fe",
"323","Fred Harvey",,"Promotional materials",,"1923/1939",,"Atchison, Topeka & Santa Fe",
"324",,"Freight service. [By date]",,,,,"Atchison, Topeka & Santa Fe",
"325","Freight service.",,"Freight symbols",,,,"Atchison, Topeka & Santa Fe",
"326","Freight stations",,,,,"Illinois.  Chicago","Atchison, Topeka & Santa Fe",
"327","Freight shippers",,"Guide and directory",,"1916-1917",,"Atchison, Topeka & Santa Fe",
"328","Fuel economy",,"Special instructions",,"1901",,"Atchison, Topeka & Santa Fe",
"329","General orders",,,,"1994",,"Atchison, Topeka & Santa Fe",
"330",,"History.  [By date]",,,,,"Atchison, Topeka & Santa Fe",
"331","History",,"C. S. Gleed",,"1893",,"Atchison, Topeka & Santa Fe",
"332","History",,"C. S. Gleed",,"1912",,"Atchison, Topeka & Santa Fe",
"333","History",,"S. T. Beldsoe",,"1930",,"Atchison, Topeka & Santa Fe",
"334","History",,"Conquest",,"Not dated",,"Atchison, Topeka & Santa Fe",
"335","History",,"The railroad",,"1937",,"Atchison, Topeka & Santa Fe",
"336","History",,"Santa Fe today",,"1945-1946",,"Atchison, Topeka & Santa Fe",
"337","History",,,,"1950",,"Atchison, Topeka & Santa Fe",
"338","History",,"The railroad",,"1951",,"Atchison, Topeka & Santa Fe",
"339","History",,,,"1953",,"Atchison, Topeka & Santa Fe",
"340","History",,"The railroad",,"1958",,"Atchison, Topeka & Santa Fe",
"341","History",,"The railroad",,"1962",,"Atchison, Topeka & Santa Fe",
"342","History",,,,"1968",,"Atchison, Topeka & Santa Fe",
"343","History",,,,"1971",,"Atchison, Topeka & Santa Fe",
"344","Gifts",,,,,,"Atchison, Topeka & Santa Fe",
"345","Harvey cars",,,,,,"Atchison, Topeka & Santa Fe",
"346","Harvey girls",,,,,,"Atchison, Topeka & Santa Fe",
"347","Honorary engineer",,,,,,"Atchison, Topeka & Santa Fe",
"348","Hospital Association",,,,,,"Atchison, Topeka & Santa Fe",
"349","Hospital Association",,"Annual reports",,,,"Atchison, Topeka & Santa Fe",
"350","Hospital Association",,"Benefits",,,,"Atchison, Topeka & Santa Fe",
"351","Hospital Association",,"By-laws",,"1952",,"Atchison, Topeka & Santa Fe",
"352","Hotels",,"El Tovar",,,"Arizona. Grand Canyon","Atchison, Topeka & Santa Fe",
"353","Hotels",,,,,"California","Atchison, Topeka & Santa Fe",
"354","Hotels",,"Alvarado",,,"New Mexico.  Albuquerque","Atchison, Topeka & Santa Fe",
"355","Hotels",,"La Fonda",,,"New Mexico.  Santa Fe","Atchison, Topeka & Santa Fe",
"356","Ice plants",,,,,"California.  San Bernardino","Atchison, Topeka & Santa Fe",
"357","Ice plants",,,,,"Kansas.  Newton","Atchison, Topeka & Santa Fe",
"358","Icing stations",,,,,"California.  Colusa","Atchison, Topeka & Santa Fe",
"359","Interstate Commerce Commission, Before the",,,,,,"Atchison, Topeka & Santa Fe",
"360","Joint facilities",,,,,,"Atchison, Topeka & Santa Fe",
"361","Kite-shaped track",,,,,,"Atchison, Topeka & Santa Fe",
"362","Land development",,,,,,"Atchison, Topeka & Santa Fe",
"363","Leases",,"Chicago and Western Indiana",,,,"Atchison, Topeka & Santa Fe",
"364",,"Locations. [By location].  [By date]",,,,,"Atchison, Topeka & Santa Fe",
"365","Locations",,,,,"Arizona. [ By date]","Atchison, Topeka & Santa Fe",
"366","Locations",,,,,"Arizona. Petrified Forest","Atchison, Topeka & Santa Fe",
"367","Locations",,,,"1897","Arizona.  Salt River Valley","Atchison, Topeka & Santa Fe",
"368","Locations",,,,,"Arizona.  Grand Canyon. [By date]","Atchison, Topeka & Santa Fe",
"369","Locations",,,,,"California.  [By date]","Atchison, Topeka & Santa Fe",
"370","Locations",,,,,"California, Southern","Atchison, Topeka & Santa Fe",
"371","Locations",,,,,"California.  Barstow","Atchison, Topeka & Santa Fe",
"373","Locations",,,,,"California.  Cajon Pass","Atchison, Topeka & Santa Fe",
"374","Locations",,,,,"California.  Death Valley","Atchison, Topeka & Santa Fe",
"375","Locations",,,,,"California.  Disneyland","Atchison, Topeka & Santa Fe",
"376","Locations",,,,,"California.  Fresno","Atchison, Topeka & Santa Fe",
"377","Locations",,,,,"California.  Kings River Canyon","Atchison, Topeka & Santa Fe",
"378","Locations",,,,,"California.  Los Angeles","Atchison, Topeka & Santa Fe",
"379","Locations",,,,,"California.  Ludlow","Atchison, Topeka & Santa Fe",
"380","Locations",,,,,"California.  Richmond","Atchison, Topeka & Santa Fe",
"381","Locations",,,,,"California.  San Bernardino","Atchison, Topeka & Santa Fe",
"382","Locations",,,,,"California.  San Diego","Atchison, Topeka & Santa Fe",
"383","Locations",,,,,"California.  San Francisco. [By date]","Atchison, Topeka & Santa Fe",
"384","Locations",,,,,"California.  San Joaquin Valley. [By date]","Atchison, Topeka & Santa Fe",
"385","Locations",,,,,"California.  Sequoia and General Grant National Parks","Atchison, Topeka & Santa Fe",
"386","Locations",,,,,"California.  Yosemite. [By date]","Atchison, Topeka & Santa Fe",
"387","Locations",,,,,"California.  Colorado. [By date]","Atchison, Topeka & Santa Fe",
"388","Locations",,,,,"Colorado.  Mesa Verde National Park. [By date]","Atchison, Topeka & Santa Fe",
"389","Locations",,,,,"Illinois.  Chicago.  [By date]","Atchison, Topeka & Santa Fe",
"390","Locations",,,,,"Nevada.  Las Vegas","Atchison, Topeka & Santa Fe",
"391","Locations",,,,,"New Mexico. [By date]","Atchison, Topeka & Santa Fe",
"392","Locations",,,,,"New Mexico. Albuquerque","Atchison, Topeka & Santa Fe",
"393","Locations",,,,,"New Mexico.  Carlsbad Caverns.  [By date]","Atchison, Topeka & Santa Fe",
"394","Locations",,,,,"New Mexico.  Santa Fe. [By date]","Atchison, Topeka & Santa Fe",
"395","Locations",,,,,"New Mexico and Arizona.  [By date]","Atchison, Topeka & Santa Fe",
"396","Locations",,,,,"Texas.  [By date]","Atchison, Topeka & Santa Fe",
"397","Locations",,,,,"Texas.  Galveston","Atchison, Topeka & Santa Fe",
"398","Locations",,,,,"East. [By date]","Atchison, Topeka & Santa Fe",
"399","Locations",,,,,"Southwest. [By date]","Atchison, Topeka & Santa Fe",
"400","Locations",,,,,"Southwest.  Agriculture","Atchison, Topeka & Santa Fe",
"401","Locomotives.  Diesel",,,,,,"Atchison, Topeka & Santa Fe",
